,Title,Section,Sub,Class,Cat,Deg,NCIC,Printable,UCR  Code,IBR_code,Effective Date,Short_Description,Full_Description,final_code
7,ABC,051,,A,M,0,4102.0,N,99.0,90G,,BREWER LIC VIOL,Brewers License Violation,ABC051AM090G
8,ABC,054,,U,M,0,4199.0,N,99.0,90Z,,RETAIL LIC VIOL,Vio Beer Sale Consum Off Prems,ABC054UM090Z
9,ABC,061,,A,M,0,4199.0,N,99.0,90G,,DISTILLER VIOL,Violation Distiller's Licenses,ABC061AM090G
10,ABC,063,,A,M,0,4199.0,N,99.0,90G,,RETAIL LIC VIOL,Violation Liquor Sale Consumption Off Premises,ABC063AM090G
11,ABC,064-A,,A,M,0,4102.0,N,44.0,90G,1965-06-28 00:00:00,LIQUOR LIC VIOL,Violation Special License Consumption On Premises,ABC064-AAM090G
12,ABC,064-B,,A,M,0,4199.0,N,44.0,90G,1969-06-01 00:00:00,UNL BOTTLE CLUB,Unlicensed Bottle Club,ABC064-BAM090G
13,ABC,064-B,,U,M,0,4102.0,N,44.0,90G,1991-01-01 00:00:00,LIQUOR LIC VIOL,Unlicensed Bottle Club,ABC064-BUM090G
14,ABC,065,,A,M,0,4102.0,N,99.0,90G,,VIOL SALE BEV,Prohibited Sale Alcoholic Beverage,ABC065AM090G
15,ABC,065-A,,,V,0,4199.0,N,44.0,90G,1985-12-01 00:00:00,LIC VIOL MINOR,Procure Alcohol For Person Less Than 21,ABC065-AV090G
16,ABC,065-B,,,V,0,4199.0,N,44.0,90G,1985-12-01 00:00:00,ABC VIOL MINOR,Person Less Than 21 Obtaining Alcohol-Fraud,ABC065-BV090G
17,ABC,065-C,,,V,0,4104.0,N,44.0,90G,,ABC VIOL MINOR,Unlawful Possession Alcohol Person Under 21,ABC065-CV090G
18,ABC,077,,A,M,0,4199.0,N,99.0,90G,,WINE SALE VIOL,Violation Sale Of Wine In Bulk,ABC077AM090G
19,ABC,079,,A,M,0,4199.0,N,99.0,90G,,WINE SALE VIOL,Violation Sell Wine For Consumption Off Premises,ABC079AM090G
20,ABC,082,,A,M,0,4102.0,N,99.0,90G,,PROH WINE SALE,Prohibited Sale Of Wine,ABC082AM090G
21,ABC,091,,A,M,0,4102.0,N,99.0,90G,,ABC PERMIT VIOL,Unauthorized Sale Industrial Alcohol,ABC091AM090G
22,ABC,092,,A,M,0,4102.0,N,99.0,90G,,ABC PERMIT VIOL,Illegal Alcohol Sale,ABC092AM090G
23,ABC,093,,A,M,0,4199.0,N,99.0,90G,,ABC PERMIT VIOL,Violation Of Solicitor's Permit,ABC093AM090G
24,ABC,093-A,,A,M,0,4199.0,N,99.0,90G,,ABC PERMIT VIOL,Broker For Alcohol Beverage Without Permit,ABC093-AAM090G
25,ABC,094,,A,M,0,4103.0,N,99.0,90G,,TRUCK PERMT VIO,Trucking Alcohol Beverages Without Permit,ABC094AM090G
26,ABC,095,,A,M,0,4102.0,N,99.0,90G,,ABC PERMIT VIOL,Drug Store Permit Violation,ABC095AM090G
27,ABC,096,,A,M,0,4199.0,N,99.0,90G,,ABC PERMIT VIOL,Unlicensed Warehouse Liquor Storage,ABC096AM090G
28,ABC,096-A,,A,M,0,4199.0,N,99.0,90G,,BOTTLING VIOL,Unauthorized Bottling Of Alcohol Beverage,ABC096-AAM090G
29,ABC,096-B,,A,M,0,4199.0,N,99.0,90G,,ABC PERMIT VIOL,Unauthorized Reconditioning Alcohol,ABC096-BAM090G
30,ABC,097,,A,M,0,4199.0,N,99.0,90G,,BEER PERMIT VIO,Misuse Temporary Beer Permit,ABC097AM090G
31,ABC,098,,A,M,0,4102.0,N,99.0,90G,,ABC PERMIT VIOL,Misuse Caterers Permit,ABC098AM090G
32,ABC,100,,A,M,0,4199.0,N,99.0,90G,,ALC BEV VIOL,General Provision Viol: Alcohol Beverage,ABC100AM090G
33,ABC,100,,U,M,0,4199.0,N,99.0,90G,,ALC BEV VIOL,Manufacture Offer For Sale Alcohol Beverage Without License,ABC100UM090G
34,ABC,100,01,U,M,0,4199.0,N,44.0,90G,,ALC BEV VIOL,Manufacture Off/Sell Alcohol Beverage Without License,ABC10001UM090G
35,ABC,101,,A,M,0,4199.0,N,99.0,90G,,ABC LICENSE VIO,Manufacture Offers/Wholesale Interest In Retail,ABC101AM090G
36,ABC,101-A,,A,M,0,4102.0,N,99.0,90G,,ALC BEV VIOL,Irregular Terms Of Sale:Alcohol Beverage,ABC101-AAM090G
37,ABC,101-AA,,A,M,0,4199.0,N,99.0,90G,,CREDIT SALE VIO,Irregular Credit Terms Sale Alcohol Beverage,ABC101-AAAM090G
38,ABC,101-B,,A,M,0,4199.0,N,99.0,90G,,UNLAW DISCRIM,Price Discrimination Violation Of Schedules,ABC101-BAM090G
39,ABC,101-B,03H,U,M,0,4102.0,N,44.0,90G,1964-10-31 00:00:00,FILE FALSE SCH,False Statement On Wholesaler Schedule,ABC101-B03HUM090G
40,ABC,101-B,,U,M,0,4102.0,N,44.0,90G,1964-10-31 00:00:00,FILE FALSE SCH,False Statement On Wholesaler Schedule,ABC101-BUM090G
41,ABC,101-BB,,A,M,0,4102.0,N,99.0,90G,,LIQUOR SALE VIO,Liquor Retail Sales Below Cost,ABC101-BBAM090G
42,ABC,101-BBB,,A,M,0,4102.0,N,44.0,90G,1964-10-31 00:00:00,WINE SALE VIOL,Wine Sale Less Than Minimum Consumer Price,ABC101-BBBAM090G
43,ABC,102,,A,M,0,4199.0,N,99.0,90G,,VIOL ABC PROV,Violation General Prohibitions Of Alcohol Beverage,ABC102AM090G
44,ABC,103,,A,M,0,4199.0,N,99.0,90G,,ALC BEV MFG VIO,Illegal Activity Alcohol Beverage Manufacturer,ABC103AM090G
45,ABC,104,,A,M,0,4199.0,N,99.0,90G,,WHOLESALE VIOL,Violation Provisions Governing Wholesale,ABC104AM090G
46,ABC,104-A,,A,M,0,4199.0,N,99.0,90G,,ABC VENDOR VIOL,Violation Provisions Governing Vendors,ABC104-AAM090G
47,ABC,105,,A,M,0,4199.0,N,99.0,90G,,RETAIL SALE VIO,Viol Provision Liquor Sale Consumption Off Premises,ABC105AM090G
48,ABC,105,14,A,M,0,4199.0,N,44.0,90G,,AFTER HOUR SALE,After Hours Sale Of Alcohol Beverage,ABC10514AM090G
49,ABC,105-A,,A,M,0,4102.0,N,99.0,90G,,BEER SALE VIOL,Retail Beer Sale On Sunday,ABC105-AAM090G
50,ABC,106,07,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:Unauthorized Sign,ABC10607AM090G
51,ABC,106,01,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises License To Non-Owner,ABC10601AM090G
52,ABC,106,11,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:Rail/Air License Violation,ABC10611AM090G
53,ABC,106,04A,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,Beer Sale Without Brewer Name Displayed,ABC10604AAM090G
54,ABC,106,15,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:Failure To Allow Inspection,ABC10615AM090G
55,ABC,106,14,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:Loan To Manufacture/Wholesaler,ABC10614AM090G
56,ABC,106,13,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:Wholesaler Interest Violation,ABC10613AM090G
57,ABC,106,12,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises Record Keeping Violation,ABC10612AM090G
58,ABC,106,09,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises License Structure Violation,ABC10609AM090G
59,ABC,106,08,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,Club Sale To Non-Member/Guest,ABC10608AM090G
60,ABC,106,06,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises Gambling Violation,ABC10606AM090G
61,ABC,106,05,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:off Hour/Day Sales Violation,ABC10605AM090G
62,ABC,106,04,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,Special On Premises License Violation,ABC10604AM090G
63,ABC,106,03,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises License Violation,ABC10603AM090G
64,ABC,106,02,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,Retail Licensee:Tax Stamp Violation,ABC10602AM090G
65,ABC,106,,A,M,0,4199.0,N,99.0,90G,,ABC VIOL,Misc. Liquor/Gambling Violation,ABC106AM090G
66,ABC,106,10,A,M,0,4199.0,N,44.0,90G,,ON PREM LIC VIO,On Premises:Vessel License Violation,ABC10610AM090G
67,ABC,107,,A,M,0,4199.0,N,99.0,90G,,LIC NOTICE VIOL,Not Publishing License Issuance,ABC107AM090G
68,ABC,107-A,,A,M,0,4199.0,N,99.0,90G,,ABC LABEL VIOL,Improper Labeling Of Alcohol Beverage,ABC107-AAM090G
69,ABC,108,,A,M,0,4102.0,N,99.0,90G,,BEV SALE VIOL,Violation Of License Restrictions,ABC108AM090G
